observation_month,published_at,available_at,cape,source,source_url,source_sha256,downloaded_at
1881-09-01,2026-06-08T00:11:02,1881-09-15,16.72,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1881-09-01,2026-06-01T09:02:10,1881-09-15 00:00:00,16.724836648772897,yale_shiller_ie_data,http://www.econ.yale.edu/~shiller/data/ie_data.xls,0df9392b7dacf91f756e92c8db508ad903c4588b43f3253680eec3dd8b40db68,2026-06-01T09:02:10
1881-10-01,2026-06-08T00:11:02,1881-10-14,16.25,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1881-10-01,2026-06-01T09:02:10,1881-10-14 00:00:00,16.261989411181354,yale_shiller_ie_data,http://www.econ.yale.edu/~shiller/data/ie_data.xls,0df9392b7dacf91f756e92c8db508ad903c4588b43f3253680eec3dd8b40db68,2026-06-01T09:02:10
1881-11-01,2026-06-08T00:11:02,1881-11-15,16.48,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1881-11-01,2026-06-01T09:02:10,1881-11-15 00:00:00,16.47864231664487,yale_shiller_ie_data,http://www.econ.yale.edu/~shiller/data/ie_data.xls,0df9392b7dacf91f756e92c8db508ad903c4588b43f3253680eec3dd8b40db68,2026-06-01T09:02:10
1881-12-01,2026-06-08T00:11:02,1881-12-15,15.96,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1881-12-01,2026-06-01T09:02:10,1881-12-15 00:00:00,15.95875420610508,yale_shiller_ie_data,http://www.econ.yale.edu/~shiller/data/ie_data.xls,0df9392b7dacf91f756e92c8db508ad903c4588b43f3253680eec3dd8b40db68,2026-06-01T09:02:10
1882-01-01,2026-06-01T09:02:10,1882-01-13 00:00:00,15.678764160028743,yale_shiller_ie_data,http://www.econ.yale.edu/~shiller/data/ie_data.xls,0df9392b7dacf91f756e92c8db508ad903c4588b43f3253680eec3dd8b40db68,2026-06-01T09:02:10
1882-01-01,2026-06-08T00:11:02,1882-01-13,15.68,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
